Simulation,Description,Date_sd,Date_lockdown,Date,Mean,C_025,C_975
True,True,2020-03-17,2020-03-24,2020-05-22,0.945260347129506,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-23,0.6426553672316384,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-24,0.8505494505494505,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-25,1.3152454780361758,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-26,1.068762278978389,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-27,1.0018382352941178,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-28,0.8550458715596331,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-29,0.9506437768240343,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-30,0.7900677200902935,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-31,0.8857142857142857,NA,NA
True,True,2020-03-17,2020-03-24,2020-06-01,1.4548387096774194,NA,NA
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-02,1.95,1.95,1.95
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-03,1.2172035897435898,1.1282051282051282,1.3076923076923077
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-04,1.2171448786309733,1.1428571428571428,1.3125
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-05,1.2172520819095525,1.14,1.3103448275862069
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-06,1.2171351029462611,1.140625,1.3098591549295775
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-07,1.2172147029070632,1.1395348837209303,1.3111111111111111
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-08,1.2172765441189894,1.14,1.3097411504424763
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-09,1.2170379267328515,1.1403508771929824,1.3103448275862069
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-10,1.217214771152967,1.1401273885350318,1.3103448275862069
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-11,1.2172620450744291,1.1401266192805932,1.3103448275862069
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-12,1.217151660239036,1.14,1.3098606099406351
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-13,1.217464675021535,1.1415094339622642,1.3102411724460168
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-14,1.2169408962144221,1.14,1.3098238121380439
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-15,1.217330406312245,1.1404255319148937,1.3105927996300526
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-16,1.217146816460348,1.1405794522667492,1.3097165991902835
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-17,1.2170078058758467,1.1401865782507696,1.3103459471562915
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-18,1.2170241626583689,1.1403026134800551,1.3094936218960924
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-19,1.2174155161507816,1.1411041227268668,1.3096093404740303
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-20,1.2172646878229105,1.1405228758169934,1.3093458290579327
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-21,1.1922046574305412,1.0509461426491995,1.2925851986939356
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-22,1.1196482489510744,1.0401606425702812,1.2519330568483942
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-23,1.0799560246874325,1.0401890339482829,1.2173913043478262
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-24,1.0685689286931175,1.0402788048546383,1.0900995596002214
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-25,1.0685376498688866,1.0402392550515718,1.0900383623580565
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-26,1.068541832507755,1.0401842553249103,1.090063678670591
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-27,1.0684927085875584,1.040237750805032,1.0900985568993315
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-28,1.0685045400254827,1.0401810347441185,1.0899266692396758
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-29,1.068468825654684,1.0400417267923063,1.0899037891904808
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-30,1.0685208044904384,1.040438366603472,1.090037132833888
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-31,1.0685464244536178,1.0403225806451613,1.0899930565635134
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-01,1.0685406792148102,1.0402929665016691,1.0899830613115125
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-02,1.0685096709399393,1.0401763572834324,1.089964280287947
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-03,1.068545837176985,1.0402067629102838,1.0900371444392842
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-04,0.9989942783875622,0.9634514830657676,1.0680804758738602
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-05,0.9990028304342882,0.9633716404906826,1.0679738649893058
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-06,0.9990027328749174,0.963402571711177,1.0680466270154294
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-07,0.9852773073111439,0.9608988615617532,1.0602044774635608
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-08,0.9675034758904358,0.9572271029996108,0.9749412837704295
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-09,0.9674876899997464,0.9571845270066732,0.9749659863945578
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-10,0.9674849415157105,0.9570362377870764,0.9750238003717635
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-11,0.9674903402218786,0.9571777594509977,0.9750469652487245
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-12,0.967502872515424,0.9571428571428572,0.9750189723300227
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-13,0.9675195579719579,0.9572180195883068,0.9750721619081059
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-14,0.9674842229889848,0.957139286880677,0.9750601304553038
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-15,0.9675103811577147,0.957142751572991,0.975016661186038
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-16,0.9674966454509265,0.9570847143803283,0.9750091877986035
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-17,0.9674896344899023,0.9572819937719491,0.9750072865528152
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-18,0.9674860003465516,0.9570613807933708,0.9749909387459225
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-19,0.9675102596721379,0.9571768305091177,0.9750556834331939
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-20,0.9674941969346852,0.9572280756571288,0.974990079305058
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-21,0.9675000372748345,0.9571656749445633,0.9750267667300779
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-22,0.9674968026733137,0.9571247736370568,0.9750479846449136
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-23,0.9675095200123379,0.9572538365700272,0.9750409335504656
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-24,0.9674826947607336,0.9570716507737397,0.9749818957723336
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-25,0.9675068930857355,0.9571356464606763,0.9750360233848869
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-26,0.9675016047509705,0.9571906285012107,0.975010771219302
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-27,0.9674864434674579,0.9571262069837372,0.9750473935516882
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-28,0.9674834569371709,0.9572385267307906,0.975
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-29,0.9675022155301077,0.9572649572649573,0.9750130140551796
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-04-30,0.9674891002059164,0.9570877488941524,0.975
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-01,0.9674879110664577,0.9571619812583668,0.9750127552340925
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-02,0.9674991343532336,0.9571773007876251,0.9750415973377704
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-03,0.9674713029880434,0.9571611057546323,0.975032873678181
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-04,0.9674949741239005,0.9572039570669995,0.9750407406848867
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-05,0.9674800436358202,0.9571209800918836,0.9750304506699148
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-06,0.9674967778299434,0.957166392092257,0.975036738488607
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-07,0.9675008935690403,0.9572191659666306,0.9750480493578534
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-08,0.9674851542031384,0.9571426889173004,0.9750003394894078
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-09,0.9675169053871698,0.9572558854088343,0.9750692520775623
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-10,0.9674883186233609,0.9572815110757484,0.9749847467968273
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-11,0.9675185019114844,0.9571888973038117,0.9750402911411737
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-12,0.9675029949216597,0.9571262860989359,0.9750594063095377
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-13,0.9675037171322827,0.9571759259259259,0.975
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-14,0.9675059582293207,0.9571567450930616,0.9750416209324032
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-15,0.9675017136082568,0.9571129707112971,0.9750804076250728
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-16,0.9674991756894824,0.9571899012074643,0.9750499001996008
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-17,0.9675050646405142,0.9571428571428572,0.9750567335273937
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-18,0.967501928043741,0.9572052401746725,0.9750402911411737
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-19,0.9675063921252437,0.9571275145029863,0.9750208159866778
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-20,0.9675097755431544,0.9572773110949767,0.9750347822512069
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-21,0.9675405338274069,0.9573360388484218,0.975059456465724
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-22,0.9674709720705356,0.9571167883211679,0.975
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-23,0.96749485672638,0.9572413793103448,0.9750240153698367
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-24,0.9674938722422518,0.957230099010591,0.9749715585893061
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-25,0.9674834270958935,0.9570112111269478,0.9750922509225092
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-26,0.9674886604533192,0.9571733942175623,0.9750520314240488
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-27,0.9675087863220285,0.9571734475374732,0.9751309481740488
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-28,0.9674846556985857,0.9570957095709571,0.9750390664545051
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-29,0.9675019022557897,0.957124842370744,0.9750778816199377
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-30,0.9674929918739428,0.9571428571428572,0.9750445632798574
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-05-31,0.9675030594612699,0.9570815450643777,0.9750982961992136
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-06-01,0.9675068442550138,0.9570869866110047,0.9751552795031055
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-02,1.95,1.95,1.95
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-03,1.2171615384615384,1.1282051282051282,1.3076923076923077
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-04,1.217113230608727,1.1428571428571428,1.3111111111111111
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-05,1.2173017604583847,1.1403508771929824,1.3103448275862069
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-06,1.2170926431565403,1.1408450704225352,1.3095321931589519
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-07,1.217183990560261,1.1397849462365592,1.3103448275862069
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-08,1.2171911494267889,1.1401869158878504,1.31
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-09,1.2172271387787068,1.140124203821656,1.3098591549295775
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-10,1.2171607588598867,1.1397058823529411,1.3101265822784811
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-11,1.2171465628073967,1.1401869158878504,1.3096469161313502
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-12,1.2172582000299599,1.140186030869442,1.3100307269614153
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-13,1.2173391419029818,1.1417004048582995,1.3099415204678362
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-14,1.191895561882229,1.0508474576271187,1.292135677541627
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-15,1.11964620244902,1.0403022670025188,1.2512693609267211
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-16,1.0799326943126106,1.0401527892143865,1.2173913043478262
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-17,1.0685743397904583,1.0401396160558465,1.0900383141762453
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-18,1.0685583578807076,1.040169133192389,1.0901639344262295
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-19,1.0685428517481936,1.0403225806451613,1.090110049833887
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-20,1.0685055620068011,1.04,1.090140992706765
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-21,1.0685627658088934,1.0402476780185759,1.0900537634408602
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-22,1.0685390615696684,1.0400615761294483,1.0902682279423288
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-23,1.0685421262835142,1.0402475222854153,1.0901734104046243
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-24,1.0685249232215024,1.0401662049861495,1.0901126408010013
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-25,1.0685281992080393,1.0403225806451613,1.0901234863818756
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-26,1.068567867165205,1.0403100775193799,1.090042372881356
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-27,1.0684786537384658,1.0401662049861495,1.0900383523377755
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-28,0.9989910144070467,0.9634369287020109,1.0678617157490398
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-29,0.999015044966881,0.9634146341463414,1.0680958385876418
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-30,0.9990087270281475,0.9633891213389121,1.068062827225131
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-03-31,0.9852807641767125,0.960960960960961,1.0604267360784787
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-04-01,0.9674967125846148,0.9571550812252049,0.9750240393612152
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-04-02,0.9674883906755161,0.9571425446819147,0.9750271444082519
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-04-03,0.9674866928714817,0.9571005539404416,0.9750813017640727
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-04-04,0.9674896587135267,0.9571428571428572,0.9750692520775623
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-04-05,0.9675240142474598,0.9571693832659935,0.975074853321655
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-04-06,0.9674931657831727,0.957091720331596,0.9751131221719457
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-04-07,0.9674990260993599,0.9571247987665238,0.9750849377123443
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-04-08,0.9675133076894321,0.9570871261378413,0.9751185117576362
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-04-09,0.967505955551523,0.9572091696247886,0.975093399750934
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-04-10,0.9675188457766777,0.9572784810126582,0.975103734439834
Counterfactual history,Social distancing and lockdown 1 week earlier,2020-03-10,2020-03-17,2020-04-11,0.967491538697188,0.9571230982019364,0.9750623441396509
